 12632 TRACE          task_state_est.c:206: Height 563.995: Velocity: 15.876
 12642 TRACE          task_state_est.c:206: Height 561.543: Velocity: 0.984
 12652 TRACE          task_state_est.c:206: Height 559.55: Velocity: -17.459
 12662 TRACE          task_state_est.c:206: Height 556.543: Velocity: -33.510
 12672 TRACE          task_state_est.c:206: Height 554.59: Velocity: -48.953
 12682 TRACE          task_state_est.c:206: Height 551.569: Velocity: -63.922
 12692 TRACE          task_state_est.c:206: Height 548.960: Velocity: -78.843
 12702 TRACE          task_state_est.c:206: Height 546.407: Velocity: -93.81
 12712 TRACE          task_state_est.c:206: Height 543.834: Velocity: -106.930
 12722 TRACE          task_state_est.c:206: Height 541.420: Velocity: -119.763
 12732 TRACE          task_state_est.c:206: Height 538.906: Velocity: -132.529
 12742 TRACE          task_state_est.c:206: Height 536.473: Velocity: -144.595
 12752 TRACE          task_state_est.c:206: Height 534.82: Velocity: -156.122
 12762 TRACE          task_state_est.c:206: Height 531.779: Velocity: -166.971
 12772 TRACE          task_state_est.c:206: Height 529.480: Velocity: -177.450
 12782 TRACE          task_state_est.c:206: Height 527.227: Velocity: -187.436
 12792 TRACE          task_state_est.c:206: Height 525.62: Velocity: -196.803
 12802 TRACE          task_state_est.c:206: Height 522.871: Velocity: -205.954
 12812 TRACE          task_state_est.c:206: Height 520.735: Velocity: -214.627
 12822 TRACE          task_state_est.c:206: Height 518.703: Velocity: -222.689
 12832 TRACE          task_state_est.c:206: Height 516.719: Velocity: -230.336
 12842 TRACE          task_state_est.c:206: Height 514.787: Velocity: -237.573
 12852 TRACE          task_state_est.c:206: Height 512.953: Velocity: -244.276
 12862 TRACE          task_state_est.c:206: Height 511.134: Velocity: -250.718
 12872 TRACE          task_state_est.c:206: Height 509.360: Velocity: -256.815
 12882 TRACE          task_state_est.c:206: Height 507.718: Velocity: -262.323
 12892 TRACE          task_state_est.c:206: Height 506.48: Velocity: -267.740
 12902 TRACE          task_state_est.c:206: Height 504.421: Velocity: -272.860
 12912 TRACE          task_state_est.c:206: Height 502.846: Velocity: -277.667
 12922 TRACE          task_state_est.c:206: Height 501.397: Velocity: -281.956
 12932 TRACE          task_state_est.c:206: Height 499.909: Velocity: -286.225
 12942 TRACE          task_state_est.c:206: Height 498.424: Velocity: -290.354
 12952 TRACE          task_state_est.c:206: Height 496.982: Velocity: -294.236
 12962 TRACE          task_state_est.c:206: Height 495.659: Velocity: -297.662
 12972 TRACE          task_state_est.c:206: Height 494.412: Velocity: -300.774
 12982 TRACE          task_state_est.c:206: Height 493.121: Velocity: -303.910
 12992 TRACE          task_state_est.c:206: Height 491.899: Velocity: -306.764
 13002 TRACE          task_state_est.c:206: Height 490.715: Velocity: -309.427
 13012 TRACE          task_state_est.c:206: Height 489.525: Velocity: -312.28
 13022 TRACE          task_state_est.c:206: Height 488.365: Velocity: -314.466
 13032 TRACE          task_state_est.c:206: Height 487.232: Velocity: -316.763
 13042 TRACE          task_state_est.c:206: Height 486.52: Velocity: -319.110
 13052 TRACE          task_state_est.c:206: Height 484.978: Velocity: -321.116
 13062 TRACE          task_state_est.c:206: Height 483.936: Velocity: -322.980
 13072 TRACE          task_state_est.c:206: Height 482.955: Velocity: -324.631
 13082 TRACE          task_state_est.c:206: Height 481.991: Velocity: -326.189
 13092 TRACE          task_state_est.c:206: Height 481.85: Velocity: -327.554
 13102 TRACE          task_state_est.c:206: Height 480.124: Velocity: -329.11
 13112 TRACE          task_state_est.c:206: Height 479.190: Velocity: -330.358
 13122 TRACE          task_state_est.c:206: Height 478.277: Velocity: -331.613
 13132 TRACE          task_state_est.c:206: Height 477.380: Velocity: -332.791
 13142 TRACE          task_state_est.c:206: Height 476.511: Velocity: -333.865
 13152 TRACE          task_state_est.c:206: Height 475.694: Velocity: -334.780
 13162 TRACE          task_state_est.c:206: Height 474.855: Velocity: -335.719
 13172 TRACE          task_state_est.c:206: Height 474.38: Velocity: -336.577
 13182 TRACE          task_state_est.c:206: Height 473.198: Velocity: -337.458
 13192 TRACE          task_state_est.c:206: Height 472.442: Velocity: -338.120
 13202 TRACE          task_state_est.c:206: Height 471.700: Velocity: -338.727
 13212 TRACE          task_state_est.c:206: Height 470.942: Velocity: -339.347
 13222 TRACE          task_state_est.c:206: Height 470.193: Velocity: -339.926
 13232 TRACE          task_state_est.c:206: Height 469.522: Velocity: -340.313
 13242 TRACE          task_state_est.c:206: Height 468.867: Velocity: -340.647
 13252 TRACE          task_state_est.c:206: Height 468.179: Velocity: -341.38
 13262 TRACE          task_state_est.c:206: Height 467.508: Velocity: -341.376
 13272 TRACE          task_state_est.c:206: Height 466.815: Velocity: -341.745
 13282 TRACE          task_state_est.c:206: Height 466.164: Velocity: -342.12
 13292 TRACE          task_state_est.c:206: Height 465.496: Velocity: -342.300
 13302 TRACE          task_state_est.c:206: Height 464.864: Velocity: -342.501
 13312 TRACE          task_state_est.c:206: Height 464.237: Velocity: -342.680
 13322 TRACE          task_state_est.c:206: Height 463.597: Velocity: -342.875
 13332 TRACE          task_state_est.c:206: Height 462.966: Velocity: -343.39
 13342 TRACE          task_state_est.c:206: Height 462.374: Velocity: -343.115
 13352 TRACE          task_state_est.c:206: Height 461.756: Velocity: -343.236
 13362 TRACE          task_state_est.c:206: Height 461.145: Velocity: -343.331
 13372 TRACE          task_state_est.c:206: Height 460.539: Velocity: -343.410
 13382 TRACE          task_state_est.c:206: Height 460.2: Velocity: -343.344
 13392 TRACE          task_state_est.c:206: Height 459.409: Velocity: -343.382
 13402 TRACE          task_state_est.c:206: Height 458.828: Velocity: -343.390
 13412 TRACE          task_state_est.c:206: Height 458.249: Velocity: -343.387
 13422 TRACE          task_state_est.c:206: Height 457.653: Velocity: -343.412
 13432 TRACE          task_state_est.c:206: Height 457.120: Velocity: -343.308
 13442 TRACE          task_state_est.c:206: Height 456.620: Velocity: -343.138
 13452 TRACE          task_state_est.c:206: Height 456.70: Velocity: -343.61
 13462 TRACE          task_state_est.c:206: Height 455.553: Velocity: -342.916
 13472 TRACE          task_state_est.c:206: Height 455.41: Velocity: -342.758
 13482 TRACE          task_state_est.c:206: Height 454.537: Velocity: -342.582
 13492 TRACE          task_state_est.c:206: Height 454.6: Velocity: -342.455
 13502 TRACE          task_state_est.c:206: Height 453.484: Velocity: -342.305
 13512 TRACE          task_state_est.c:206: Height 452.985: Velocity: -342.113
 13522 TRACE          task_state_est.c:206: Height 452.491: Velocity: -341.908
 13532 TRACE          task_state_est.c:206: Height 451.980: Velocity: -341.733
 13542 TRACE          task_state_est.c:206: Height 451.503: Velocity: -341.494
 13552 TRACE          task_state_est.c:206: Height 451.22: Velocity: -341.262
 13562 TRACE          task_state_est.c:206: Height 450.523: Velocity: -341.60
 13572 TRACE          task_state_est.c:206: Height 450.54: Velocity: -340.803
 13582 TRACE          task_state_est.c:206: Height 449.563: Velocity: -340.584
 13592 TRACE          task_state_est.c:206: Height 449.97: Velocity: -340.320
 13602 TRACE          task_state_est.c:206: Height 448.639: Velocity: -340.42
 13612 TRACE          task_state_est.c:206: Height 448.184: Velocity: -339.758
 13622 TRACE          task_state_est.c:206: Height 447.704: Velocity: -339.517
 13632 TRACE          task_state_est.c:206: Height 447.230: Velocity: -339.263
 13642 TRACE          task_state_est.c:206: Height 446.756: Velocity: -339.10
 13652 TRACE          task_state_est.c:206: Height 446.290: Velocity: -338.743
 13662 TRACE          task_state_est.c:206: Height 445.822: Velocity: -338.477
 13672 TRACE          task_state_est.c:206: Height 445.386: Velocity: -338.159
 13682 TRACE          task_state_est.c:206: Height 444.954: Velocity: -337.835
 13692 TRACE          task_state_est.c:206: Height 444.544: Velocity: -337.476
 13702 TRACE          task_state_est.c:206: Height 444.135: Velocity: -337.116
 13712 TRACE          task_state_est.c:206: Height 443.705: Velocity: -336.791
 13722 TRACE          task_state_est.c:206: Height 443.207: Velocity: -336.575
