,flight_sensor_id,signal_type,t,value
5068,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.699250943219027,[-9.54852546]
5069,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.699250943219027,[-11.87204645]
5070,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.699250943219027,[77853.00050422]
5071,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.699250943219027,[77844.07008312]
5072,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.699250943219027,[77844.00454987]
5073,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.699250943219027,[5.65281989]
5074,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.699250943219027,[4.94745113]
5075,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.699250943219027,[4.957399]
5076,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.70925094321903,[-10.32419408]
5077,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.70925094321903,[-10.53977016]
5078,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.70925094321903,[-9.65888608]
5079,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.70925094321903,[77844.1546257]
5080,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.70925094321903,[77828.10496865]
5081,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.70925094321903,[77810.51204682]
5082,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.70925094321903,[4.45676884]
5083,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.70925094321903,[5.09098663]
5084,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.70925094321903,[5.13407218]
5085,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.719250943219033,[-8.88410931]
5086,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.719250943219033,[-10.08575505]
5087,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.719250943219033,[-9.34713996]
5088,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.719250943219033,[77796.94948086]
5089,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.719250943219033,[77814.94230526]
5090,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.719250943219033,[77817.11870062]
5091,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.719250943219033,[5.63983499]
5092,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.719250943219033,[5.70166135]
5093,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.719250943219033,[5.49113588]
5094,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.729250943219037,[-10.0376451]
5095,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.729250943219037,[-10.014832]
5096,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.729250943219037,[-10.17094082]
5097,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.729250943219037,[77804.73820987]
5098,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.729250943219037,[77798.0194891]
5099,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.729250943219037,[77809.66676645]
5100,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.729250943219037,[5.38097691]
5101,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.729250943219037,[4.88022487]
5102,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.729250943219037,[4.83653843]
5103,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.73925094321904,[-10.7174121]
5104,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.73925094321904,[-10.69828893]
5105,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.73925094321904,[-9.79308719]
5106,a2cd99cf-32eb-47f0-845d-6b7d3515d298,pressure,5.73925094321904,[77778.3759728]
5107,ff1f6c69-0601-49a0-9bf8-11b0082debd7,pressure,5.73925094321904,[77786.46426001]
5108,e99c3424-957e-4c60-a8f8-821857457f32,pressure,5.73925094321904,[77782.79693646]
5109,f03e12b2-39f3-4039-b72b-3cfd3273083c,temperature,5.73925094321904,[5.32809925]
5110,7511b0fa-77ab-4ed8-8e20-11fa19c1ad84,temperature,5.73925094321904,[5.37518591]
5111,c3f011cf-9229-4dc2-904b-0f6a3e2fdf2b,temperature,5.73925094321904,[4.84043295]
5112,f9c9f80b-679c-41ba-a720-1d9d7fd54d4f,acceleration_x,5.749250943219043,[-10.11202529]
5113,54f15804-28c3-4b22-82df-d95b40b9a3d2,acceleration_x,5.749250943219043,[-10.53700304]
5114,cc6a95a0-bfd3-4cb0-88b8-00ad2bfbdd33,acceleration_x,5.749250943219043,[-10.01891792]
